16:50:49 [Bölge 1 - Risk 33 (Risk 7) eklendi] Managed: 2 MB | Process: 168 MB
16:50:49 [Bölge 1 - Risk 34 (Risk 8) eklendi] Managed: 2 MB | Process: 169 MB
16:50:49 [Bölge 1 - Risk 35 (Risk 9) eklendi] Managed: 2 MB | Process: 169 MB
16:50:49 [Bölge 1 - Risk 36 (Risk 10) eklendi] Managed: 2 MB | Process: 169 MB
16:50:49 [Bölge 1 - Risk 37 (Risk 11) eklendi] Managed: 2 MB | Process: 169 MB
16:50:49 [Bölge 1 - Risk 38 (Risk 12) eklendi] Managed: 2 MB | Process: 169 MB
16:50:49 [AltChunk ile birleştirme başlıyor] Managed: 2 MB | Process: 169 MB
16:50:51 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 2 MB | Process: 290 MB
16:50:51 [Temp dosyalar silindi (İşlem bitti)] Managed: 2 MB | Process: 290 MB
16:52:56 [Başlangıç] Managed: 1 MB | Process: 146 MB
16:52:56 [Kapak hazırlandı] Managed: 1 MB | Process: 155 MB
16:52:56 [Revizyon Tablosu hazırlandı] Managed: 1 MB | Process: 155 MB
16:52:56 [İncelenen Dökümanlar hazırlandı] Managed: 1 MB | Process: 155 MB
16:52:57 [Header/Footer hazırlandı] Managed: 1 MB | Process: 155 MB
16:52:57 [Makine görselleri eklendi] Managed: 1 MB | Process: 156 MB
16:52:57 [Otomatik tablolar eklendi] Managed: 2 MB | Process: 156 MB
16:52:59 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 1 MB | Process: 201 MB
16:52:59 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 2 MB | Process: 201 MB
16:52:59 [Bölge 1 - Risk 29 (Risk 3) eklendi] Managed: 2 MB | Process: 171 MB
16:52:59 [Bölge 1 - Risk 30 (Risk 4) eklendi] Managed: 2 MB | Process: 171 MB
16:52:59 [Bölge 1 - Risk 31 (Risk 5) eklendi] Managed: 2 MB | Process: 171 MB
16:52:59 [Bölge 1 - Risk 32 (Risk 6) eklendi] Managed: 2 MB | Process: 171 MB
16:52:59 [Bölge 1 - Risk 33 (Risk 7) eklendi] Managed: 2 MB | Process: 172 MB
16:52:59 [Bölge 1 - Risk 34 (Risk 8) eklendi] Managed: 2 MB | Process: 172 MB
16:52:59 [Bölge 1 - Risk 35 (Risk 9) eklendi] Managed: 2 MB | Process: 172 MB
16:53:00 [Bölge 1 - Risk 36 (Risk 10) eklendi] Managed: 2 MB | Process: 173 MB
16:53:00 [Bölge 1 - Risk 37 (Risk 11) eklendi] Managed: 2 MB | Process: 173 MB
16:53:00 [Bölge 1 - Risk 38 (Risk 12) eklendi] Managed: 2 MB | Process: 173 MB
16:53:00 [AltChunk ile birleştirme başlıyor] Managed: 2 MB | Process: 173 MB
16:53:01 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 1 MB | Process: 306 MB
16:53:01 [Temp dosyalar silindi (İşlem bitti)] Managed: 1 MB | Process: 306 MB
16:54:45 [Başlangıç] Managed: 1 MB | Process: 266 MB
16:54:45 [Kapak hazırlandı] Managed: 2 MB | Process: 266 MB
16:54:45 [Revizyon Tablosu hazırlandı] Managed: 2 MB | Process: 266 MB
16:54:45 [İncelenen Dökümanlar hazırlandı] Managed: 2 MB | Process: 266 MB
16:54:45 [Header/Footer hazırlandı] Managed: 2 MB | Process: 266 MB
16:54:46 [Makine görselleri eklendi] Managed: 2 MB | Process: 267 MB
